19:38:38.277: Position 1: JG88
19:38:38.283: Position 2: JO59
19:38:38.283: Position 3: NA17
19:38:38.284: Position 4: VM33
19:38:38.284: Position 5: AL28
19:38:38.285: Position 6: NV66
19:38:38.285: Position 7: BM19
19:38:38.285: Position 8: YZ03
19:38:48.457: First command velocity received.
19:39:02.842: Timer started.
19:40:17.112: Message received: teamAwesome,p@55w04d,1,OL77
19:40:17.116: Awarded: 0 pts
19:40:17.117: Message received: teamAwesome,p@55w04d,2,HH77
19:40:17.118: Awarded: 0 pts
19:40:17.118: Message received: teamAwesome,p@55w04d,3,NA17
19:40:17.119: Awarded: 6 pts
19:40:17.119: Team total: 6 pts
19:40:17.120: Message received: teamAwesome,p@55w04d,4,AA00
19:40:17.122: Awarded: 0 pts
19:40:17.123: Message received: teamAwesome,p@55w04d,5,AA00
19:40:17.126: Awarded: 0 pts
19:40:17.129: Message received: teamAwesome,p@55w04d,6,AA00
19:40:17.130: Awarded: 0 pts
19:40:17.902: Message received: teamAwesome,p@55w04d,1,OL77
19:40:17.903: Awarded: 0 pts
19:40:17.905: Message received: teamAwesome,p@55w04d,2,HH77
19:40:17.906: Awarded: 0 pts
19:40:17.907: Message received: teamAwesome,p@55w04d,3,NA17
19:40:17.908: Awarded: 6 pts
19:40:17.908: Message received: teamAwesome,p@55w04d,4,AA00
19:40:17.910: Awarded: 0 pts
19:40:17.913: Message received: teamAwesome,p@55w04d,5,AA00
19:40:17.918: Awarded: 0 pts
19:40:17.920: Message received: teamAwesome,p@55w04d,6,AA00
19:40:17.921: Awarded: 0 pts
19:40:18.666: Message received: teamAwesome,p@55w04d,1,OL77
19:40:18.668: Awarded: 0 pts
19:40:18.669: Message received: teamAwesome,p@55w04d,2,HH77
19:40:18.670: Awarded: 0 pts
19:40:18.671: Message received: teamAwesome,p@55w04d,3,NA17
19:40:18.672: Awarded: 6 pts
19:40:18.674: Message received: teamAwesome,p@55w04d,4,AA00
19:40:18.676: Awarded: 0 pts
19:40:18.679: Message received: teamAwesome,p@55w04d,5,AA00
19:40:18.681: Awarded: 0 pts
19:40:18.683: Message received: teamAwesome,p@55w04d,6,AA00
19:40:18.687: Awarded: 0 pts
19:40:19.315: Message received: teamAwesome,p@55w04d,1,OL77
19:40:19.317: Awarded: 0 pts
19:40:19.318: Message received: teamAwesome,p@55w04d,2,HH77
19:40:19.319: Awarded: 0 pts
19:40:19.320: Message received: teamAwesome,p@55w04d,3,NA17
19:40:19.322: Awarded: 6 pts
19:40:19.323: Message received: teamAwesome,p@55w04d,4,AA00
19:40:19.324: Awarded: 0 pts
19:40:19.327: Message received: teamAwesome,p@55w04d,5,AA00
19:40:19.334: Awarded: 0 pts
19:40:19.335: Message received: teamAwesome,p@55w04d,6,AA00
19:40:19.337: Awarded: 0 pts
19:40:20.295: Message received: teamAwesome,p@55w04d,1,OL77
19:40:20.296: Awarded: 0 pts
19:40:20.297: Message received: teamAwesome,p@55w04d,2,HH77
19:40:20.298: Awarded: 0 pts
19:40:20.299: Message received: teamAwesome,p@55w04d,3,NA17
19:40:20.299: Awarded: 6 pts
19:40:20.308: Message received: teamAwesome,p@55w04d,4,AA00
19:40:20.310: Awarded: 0 pts
19:40:20.311: Message received: teamAwesome,p@55w04d,5,AA00
19:40:20.314: Awarded: 0 pts
19:40:20.323: Message received: teamAwesome,p@55w04d,6,AA00
19:40:20.326: Awarded: 0 pts
19:40:21.270: Message received: teamAwesome,p@55w04d,1,OL77
19:40:21.278: Awarded: 0 pts
19:40:21.280: Message received: teamAwesome,p@55w04d,2,HH77
19:40:21.287: Awarded: 0 pts
19:40:21.292: Message received: teamAwesome,p@55w04d,3,NA17
19:40:21.297: Awarded: 6 pts
19:40:21.318: Message received: teamAwesome,p@55w04d,4,AA00
19:40:21.320: Awarded: 0 pts
19:40:21.327: Message received: teamAwesome,p@55w04d,5,AA00
19:40:21.329: Awarded: 0 pts
19:40:21.331: Message received: teamAwesome,p@55w04d,6,AA00
19:40:21.333: Awarded: 0 pts
19:40:26.985: Message received: teamAwesome,p@55w04d,1,OL77
19:40:26.987: Awarded: 0 pts
19:40:27.013: Message received: teamAwesome,p@55w04d,2,HH77
19:40:27.014: Awarded: 0 pts
19:40:27.017: Message received: teamAwesome,p@55w04d,3,NA17
19:40:27.018: Awarded: 6 pts
19:40:27.019: Message received: teamAwesome,p@55w04d,4,AA00
19:40:27.021: Awarded: 0 pts
19:40:27.023: Message received: teamAwesome,p@55w04d,5,AA00
19:40:27.024: Awarded: 0 pts
19:40:27.026: Message received: teamAwesome,p@55w04d,6,AA00
19:40:27.030: Awarded: 0 pts
19:40:27.773: Message received: teamAwesome,p@55w04d,1,OL77
19:40:27.774: Awarded: 0 pts
19:40:27.776: Message received: teamAwesome,p@55w04d,2,HH77
19:40:27.777: Awarded: 0 pts
19:40:27.779: Message received: teamAwesome,p@55w04d,3,NA17
19:40:27.782: Awarded: 6 pts
19:40:27.784: Message received: teamAwesome,p@55w04d,4,AA00
19:40:27.785: Awarded: 0 pts
19:40:27.788: Message received: teamAwesome,p@55w04d,5,AA00
19:40:27.791: Awarded: 0 pts
19:40:27.793: Message received: teamAwesome,p@55w04d,6,AA00
19:40:27.796: Awarded: 0 pts
19:40:28.551: Message received: teamAwesome,p@55w04d,1,OL77
19:40:28.553: Awarded: 0 pts
19:40:28.554: Message received: teamAwesome,p@55w04d,2,HH77
19:40:28.556: Awarded: 0 pts
19:40:28.558: Message received: teamAwesome,p@55w04d,3,NA17
19:40:28.559: Awarded: 6 pts
19:40:28.562: Message received: teamAwesome,p@55w04d,4,AA00
19:40:28.564: Awarded: 0 pts
19:40:28.566: Message received: teamAwesome,p@55w04d,5,AA00
19:40:28.569: Awarded: 0 pts
19:40:28.570: Message received: teamAwesome,p@55w04d,6,AA00
19:40:28.574: Awarded: 0 pts
19:40:29.325: Message received: teamAwesome,p@55w04d,1,OL77
19:40:29.327: Awarded: 0 pts
19:40:29.334: Message received: teamAwesome,p@55w04d,2,HH77
19:40:29.336: Awarded: 0 pts
19:40:29.337: Message received: teamAwesome,p@55w04d,3,NA17
19:40:29.338: Awarded: 6 pts
19:40:29.338: Message received: teamAwesome,p@55w04d,4,AA00
19:40:29.339: Awarded: 0 pts
19:40:29.341: Message received: teamAwesome,p@55w04d,5,AA00
19:40:29.352: Awarded: 0 pts
19:40:29.358: Message received: teamAwesome,p@55w04d,6,AA00
19:40:29.359: Awarded: 0 pts
19:40:30.038: Message received: teamAwesome,p@55w04d,1,OL77
19:40:30.039: Awarded: 0 pts
19:40:30.041: Message received: teamAwesome,p@55w04d,2,HH77
19:40:30.042: Awarded: 0 pts
19:40:30.044: Message received: teamAwesome,p@55w04d,3,NA17
19:40:30.045: Awarded: 6 pts
19:40:30.046: Message received: teamAwesome,p@55w04d,4,AA00
19:40:30.049: Awarded: 0 pts
19:40:30.050: Message received: teamAwesome,p@55w04d,5,AA00
19:40:30.051: Awarded: 0 pts
19:40:30.055: Message received: teamAwesome,p@55w04d,6,AA00
19:40:30.060: Awarded: 0 pts
19:40:30.132: Message received: teamAwesome,p@55w04d,1,OL77
19:40:30.134: Awarded: 0 pts
19:40:30.134: Message received: teamAwesome,p@55w04d,2,HH77
19:40:30.138: Awarded: 0 pts
19:40:30.139: Message received: teamAwesome,p@55w04d,3,NA17
19:40:30.140: Awarded: 6 pts
19:40:30.141: Message received: teamAwesome,p@55w04d,4,AA00
19:40:30.142: Awarded: 0 pts
19:40:30.143: Message received: teamAwesome,p@55w04d,5,AA00
19:40:30.145: Awarded: 0 pts
19:40:30.146: Message received: teamAwesome,p@55w04d,6,AA00
19:40:30.147: Awarded: 0 pts
19:40:30.201: Message received: teamAwesome,p@55w04d,1,OL77
19:40:30.203: Awarded: 0 pts
19:40:30.204: Message received: teamAwesome,p@55w04d,2,HH77
19:40:30.205: Awarded: 0 pts
19:40:30.207: Message received: teamAwesome,p@55w04d,3,NA17
19:40:30.209: Awarded: 6 pts
19:40:30.211: Message received: teamAwesome,p@55w04d,4,AA00
19:40:30.212: Awarded: 0 pts
19:40:30.214: Message received: teamAwesome,p@55w04d,5,AA00
19:40:30.216: Awarded: 0 pts
19:40:30.217: Message received: teamAwesome,p@55w04d,6,AA00
19:40:30.218: Awarded: 0 pts
19:40:30.265: Message received: teamAwesome,p@55w04d,1,OL77
19:40:30.266: Awarded: 0 pts
19:40:30.267: Message received: teamAwesome,p@55w04d,2,HH77
19:40:30.268: Awarded: 0 pts
19:40:30.269: Message received: teamAwesome,p@55w04d,3,NA17
19:40:30.270: Awarded: 6 pts
19:40:30.271: Message received: teamAwesome,p@55w04d,4,AA00
19:40:30.272: Awarded: 0 pts
19:40:30.274: Message received: teamAwesome,p@55w04d,5,AA00
19:40:30.276: Awarded: 0 pts
19:40:30.279: Message received: teamAwesome,p@55w04d,6,AA00
19:40:30.283: Awarded: 0 pts
19:40:30.331: Message received: teamAwesome,p@55w04d,1,OL77
19:40:30.332: Awarded: 0 pts
19:40:30.336: Message received: teamAwesome,p@55w04d,2,HH77
19:40:30.337: Awarded: 0 pts
