19:42:20.411: Position 1: JE45
19:42:20.420: Position 2: ZJ96
19:42:20.421: Position 3: KC11
19:42:20.422: Position 4: FD51
19:42:20.423: Position 5: XT17
19:42:20.423: Position 6: EE91
19:42:20.424: Position 7: RL21
19:42:20.425: Position 8: IA47
19:42:31.268: First command velocity received.
19:42:31.778: Timer started.
19:43:44.457: Timer started.
19:43:54.076: Message received: teamAwesome,p@55w04d,1,AA00
19:43:54.092: Awarded: 0 pts
19:43:54.093: Message received: teamAwesome,p@55w04d,2,GH11
19:43:54.094: Awarded: 0 pts
19:43:54.100: Message received: teamAwesome,p@55w04d,3,KC11
19:43:54.104: Awarded: 6 pts
19:43:54.108: Team total: 6 pts
19:43:54.110: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:54.113: Awarded: 0 pts
19:43:54.116: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:54.118: Awarded: 0 pts
19:43:54.119: Message received: teamAwesome,p@55w04d,6,KG77
19:43:54.122: Awarded: 0 pts
19:43:54.159: Message received: teamAwesome,p@55w04d,1,AA00
19:43:54.162: Awarded: 0 pts
19:43:54.163: Message received: teamAwesome,p@55w04d,2,GH11
19:43:54.164: Awarded: 0 pts
19:43:54.169: Message received: teamAwesome,p@55w04d,3,KC11
19:43:54.173: Awarded: 6 pts
19:43:54.174: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:54.177: Awarded: 0 pts
19:43:54.179: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:54.184: Awarded: 0 pts
19:43:54.188: Message received: teamAwesome,p@55w04d,6,KG77
19:43:54.190: Awarded: 0 pts
19:43:54.332: Message received: teamAwesome,p@55w04d,1,AA00
19:43:54.333: Awarded: 0 pts
19:43:54.335: Message received: teamAwesome,p@55w04d,2,GH11
19:43:54.337: Awarded: 0 pts
19:43:54.338: Message received: teamAwesome,p@55w04d,3,KC11
19:43:54.339: Awarded: 6 pts
19:43:54.340: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:54.341: Awarded: 0 pts
19:43:54.342: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:54.346: Awarded: 0 pts
19:43:54.351: Message received: teamAwesome,p@55w04d,6,KG77
19:43:54.353: Awarded: 0 pts
19:43:54.428: Message received: teamAwesome,p@55w04d,1,AA00
19:43:54.430: Awarded: 0 pts
19:43:54.431: Message received: teamAwesome,p@55w04d,2,GH11
19:43:54.435: Awarded: 0 pts
19:43:54.436: Message received: teamAwesome,p@55w04d,3,KC11
19:43:54.440: Awarded: 6 pts
19:43:54.446: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:54.451: Awarded: 0 pts
19:43:54.458: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:54.469: Awarded: 0 pts
19:43:54.471: Message received: teamAwesome,p@55w04d,6,KG77
19:43:54.474: Awarded: 0 pts
19:43:54.981: Message received: teamAwesome,p@55w04d,1,AA00
19:43:54.983: Awarded: 0 pts
19:43:54.985: Message received: teamAwesome,p@55w04d,2,GH11
19:43:54.986: Awarded: 0 pts
19:43:54.987: Message received: teamAwesome,p@55w04d,3,KC11
19:43:54.988: Awarded: 6 pts
19:43:54.989: Message received: teamAwesome,p@55w04d,4,DHW7
