19:44:58.249: Position 1: MA38
19:44:58.250: Position 2: KT77
19:44:58.250: Position 3: LX39
19:44:58.250: Position 4: ZF44
19:44:58.250: Position 5: SB39
19:44:58.250: Position 6: ME15
19:44:58.250: Position 7: XA33
19:44:58.250: Position 8: HT83
19:45:17.859: Timer started.
19:45:24.368: First command velocity received.
19:46:03.297: Timer started.
19:46:03.555: Timer started.
19:46:47.073: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.078: Awarded: 0 pts
19:46:47.079: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.080: Awarded: 0 pts
19:46:47.081: Message received: teamAwesome,p@55w04d,3,QG39
19:46:47.082: Awarded: 0 pts
19:46:47.083: Message received: teamAwesome,p@55w04d,4,AA00
19:46:47.089: Awarded: 0 pts
19:46:47.090: Message received: teamAwesome,p@55w04d,5,AA00
19:46:47.092: Awarded: 0 pts
19:46:47.093: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:47.094: Awarded: 0 pts
19:46:47.280: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.285: Awarded: 0 pts
19:46:47.286: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.287: Awarded: 0 pts
19:46:47.289: Message received: teamAwesome,p@55w04d,3,QG39
19:46:47.290: Awarded: 0 pts
19:46:47.291: Message received: teamAwesome,p@55w04d,4,AA00
19:46:47.294: Awarded: 0 pts
19:46:47.295: Message received: teamAwesome,p@55w04d,5,AA00
19:46:47.296: Awarded: 0 pts
19:46:47.300: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:47.301: Awarded: 0 pts
19:46:47.368: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.369: Awarded: 0 pts
19:46:47.370: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.371: Awarded: 0 pts
19:46:47.374: Message received: teamAwesome,p@55w04d,3,QG39
19:46:47.380: Awarded: 0 pts
19:46:47.382: Message received: teamAwesome,p@55w04d,4,AA00
19:46:47.384: Awarded: 0 pts
19:46:47.395: Message received: teamAwesome,p@55w04d,5,AA00
19:46:47.396: Awarded: 0 pts
19:46:47.399: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:47.401: Awarded: 0 pts
19:46:47.527: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.528: Awarded: 0 pts
19:46:47.529: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.532: Awarded: 0 pts
19:46:47.534: Message received: teamAwesome,p@55w04d,3,QG39
19:46:47.535: Awarded: 0 pts
19:46:47.538: Message received: teamAwesome,p@55w04d,4,AA00
19:46:47.539: Awarded: 0 pts
19:46:47.540: Message received: teamAwesome,p@55w04d,5,AA00
19:46:47.542: Awarded: 0 pts
19:46:47.544: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:47.545: Awarded: 0 pts
19:46:47.678: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.679: Awarded: 0 pts
19:46:47.683: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.683: Awarded: 0 pts
19:46:47.684: Message received: teamAwesome,p@55w04d,3,QG39
19:46:47.688: Awarded: 0 pts
19:46:47.689: Message received: teamAwesome,p@55w04d,4,AA00
19:46:47.689: Awarded: 0 pts
19:46:47.693: Message received: teamAwesome,p@55w04d,5,AA00
19:46:47.695: Awarded: 0 pts
19:46:47.699: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:47.704: Awarded: 0 pts
19:46:47.871: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.873: Awarded: 0 pts
19:46:47.874: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.874: Awarded: 0 pts
