19:14:00.685: Position 1: FM90
19:14:00.686: Position 2: MW25
19:14:00.686: Position 3: YI68
19:14:00.686: Position 4: AW71
19:14:00.686: Position 5: HA91
19:14:00.687: Position 6: PV49
19:14:00.687: Position 7: XY54
19:14:00.688: Position 8: SK06
19:14:10.864: First command velocity received.
19:14:13.802: Message received: teamAwesome,p@55w04d,0,AA00
19:15:24.634: Full lap completed: +5 points
19:15:24.635: Team total: 5 pts
19:15:56.281: Timer started.
19:17:11.285: Full lap completed already awarded points.
19:19:13.053: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.055: Awarded: 0 pts
19:19:13.079: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.081: Awarded: 6 pts
19:19:13.086: Team total: 11 pts
19:19:13.087: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.088: Awarded: 0 pts
19:19:13.089: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.091: Awarded: 0 pts
19:19:13.093: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.100: Awarded: 6 pts
19:19:13.101: Team total: 17 pts
19:19:13.101: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.102: Awarded: 6 pts
19:19:13.102: Team total: 23 pts
19:19:13.140: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.141: Awarded: 0 pts
19:19:13.147: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.148: Awarded: 6 pts
19:19:13.149: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.150: Awarded: 0 pts
19:19:13.151: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.152: Awarded: 0 pts
19:19:13.156: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.157: Awarded: 6 pts
19:19:13.158: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.159: Awarded: 6 pts
19:19:13.230: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.233: Awarded: 0 pts
19:19:13.234: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.235: Awarded: 6 pts
19:19:13.236: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.238: Awarded: 0 pts
19:19:13.239: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.240: Awarded: 0 pts
19:19:13.244: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.249: Awarded: 6 pts
19:19:13.254: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.258: Awarded: 6 pts
19:19:13.287: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.288: Awarded: 0 pts
19:19:13.291: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.294: Awarded: 6 pts
19:19:13.296: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.298: Awarded: 0 pts
19:19:13.299: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.301: Awarded: 0 pts
19:19:13.303: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.311: Awarded: 6 pts
19:19:13.314: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.318: Awarded: 6 pts
19:19:13.388: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.389: Awarded: 0 pts
19:19:13.390: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.391: Awarded: 6 pts
19:19:13.393: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.394: Awarded: 0 pts
19:19:13.395: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.397: Awarded: 0 pts
19:19:13.399: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.403: Awarded: 6 pts
19:19:13.406: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.409: Awarded: 6 pts
19:19:13.447: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.449: Awarded: 0 pts
19:19:13.450: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.451: Awarded: 6 pts
19:19:13.451: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.452: Awarded: 0 pts
19:19:13.453: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.454: Awarded: 0 pts
19:19:13.455: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.457: Awarded: 6 pts
19:19:13.459: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.464: Awarded: 6 pts
19:19:13.486: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.491: Awarded: 0 pts
19:19:13.494: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.495: Awarded: 6 pts
19:19:13.497: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.498: Awarded: 0 pts
19:19:13.501: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.502: Awarded: 0 pts
19:19:13.503: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.508: Awarded: 6 pts
19:19:13.509: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.514: Awarded: 6 pts
19:19:13.547: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.549: Awarded: 0 pts
19:19:13.550: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.551: Awarded: 6 pts
19:19:13.552: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.554: Awarded: 0 pts
19:19:13.557: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.562: Awarded: 0 pts
19:19:13.568: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.573: Awarded: 6 pts
19:19:13.575: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.576: Awarded: 6 pts
19:19:13.645: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.647: Awarded: 0 pts
19:19:13.647: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.648: Awarded: 6 pts
19:19:13.649: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.649: Awarded: 0 pts
19:19:13.650: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.651: Awarded: 0 pts
19:19:13.651: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.652: Awarded: 6 pts
19:19:13.653: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.654: Awarded: 6 pts
19:19:13.716: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.718: Awarded: 0 pts
19:19:13.719: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.719: Awarded: 6 pts
19:19:13.720: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.721: Awarded: 0 pts
19:19:13.722: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.723: Awarded: 0 pts
19:19:13.724: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.725: Awarded: 6 pts
19:19:13.726: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.728: Awarded: 6 pts
19:19:13.751: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.754: Awarded: 0 pts
19:19:13.756: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.757: Awarded: 6 pts
19:19:13.760: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.763: Awarded: 0 pts
19:19:13.769: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.773: Awarded: 0 pts
19:19:13.774: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.776: Awarded: 6 pts
19:19:13.781: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.784: Awarded: 6 pts
19:19:13.840: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.841: Awarded: 0 pts
19:19:13.842: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.843: Awarded: 6 pts
19:19:13.844: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.845: Awarded: 0 pts
19:19:13.846: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.856: Awarded: 0 pts
19:19:13.857: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.858: Awarded: 6 pts
19:19:13.859: Message received: teamAwesome,p@55w04d,6,PV49
19:19:13.862: Awarded: 6 pts
19:19:13.986: Message received: teamAwesome,p@55w04d,1,HH88
19:19:13.987: Awarded: 0 pts
19:19:13.988: Message received: teamAwesome,p@55w04d,2,MW25
19:19:13.989: Awarded: 6 pts
19:19:13.990: Message received: teamAwesome,p@55w04d,3,HH88
19:19:13.990: Awarded: 0 pts
19:19:13.991: Message received: teamAwesome,p@55w04d,4,AH77
19:19:13.992: Awarded: 0 pts
19:19:13.993: Message received: teamAwesome,p@55w04d,5,HA91
19:19:13.993: Awarded: 6 pts
19:19:13.997: Message received: teamAwesome,p@55w04d,6,PV49
19:19:14.001: Awarded: 6 pts
19:19:14.105: Message received: teamAwesome,p@55w04d,1,HH88
19:19:14.106: Awarded: 0 pts
19:19:14.107: Message received: teamAwesome,p@55w04d,2,MW25
19:19:14.108: Awarded: 6 pts
19:19:14.109: Message received: teamAwesome,p@55w04d,3,HH88
19:19:14.110: Awarded: 0 pts
19:19:14.112: Message received: teamAwesome,p@55w04d,4,AH77
19:19:14.115: Awarded: 0 pts
19:19:14.118: Message received: teamAwesome,p@55w04d,5,HA91
19:19:14.124: Awarded: 6 pts
19:19:14.128: Message received: teamAwesome,p@55w04d,6,PV49
19:19:14.129: Awarded: 6 pts
19:19:14.232: Message received: teamAwesome,p@55w04d,1,HH88
19:19:14.233: Awarded: 0 pts
19:19:14.234: Message received: teamAwesome,p@55w04d,2,MW25
19:19:14.235: Awarded: 6 pts
19:19:14.236: Message received: teamAwesome,p@55w04d,3,HH88
19:19:14.237: Awarded: 0 pts
19:19:14.238: Message received: teamAwesome,p@55w04d,4,AH77
19:19:14.239: Awarded: 0 pts
19:19:14.241: Message received: teamAwesome,p@55w04d,5,HA91
19:19:14.242: Awarded: 6 pts
19:19:14.260: Message received: teamAwesome,p@55w04d,6,PV49
19:19:14.267: Awarded: 6 pts
19:19:14.544: Message received: teamAwesome,p@55w04d,1,HH88
19:19:14.546: Awarded: 0 pts
19:19:14.547: Message received: teamAwesome,p@55w04d,2,MW25
19:19:14.548: Awarded: 6 pts
19:19:14.550: Message received: teamAwesome,p@55w04d,3,HH88
19:19:14.554: Awarded: 0 pts
19:19:14.556: Message received: teamAwesome,p@55w04d,4,AH77
19:19:14.557: Awarded: 0 pts
19:19:14.565: Message received: teamAwesome,p@55w04d,5,HA91
19:19:14.570: Awarded: 6 pts
19:19:14.571: Message received: teamAwesome,p@55w04d,6,PV49
19:19:14.577: Awarded: 6 pts
19:19:14.963: Message received: teamAwesome,p@55w04d,1,HH88
19:19:14.964: Awarded: 0 pts
19:19:14.967: Message received: teamAwesome,p@55w04d,2,MW25
19:19:14.970: Awarded: 6 pts
19:19:14.971: Message received: teamAwesome,p@55w04d,3,HH88
19:19:14.971: Awarded: 0 pts
19:19:14.973: Message received: teamAwesome,p@55w04d,4,AH77
19:19:14.974: Awarded: 0 pts
19:19:14.976: Message received: teamAwesome,p@55w04d,5,HA91
19:19:14.978: Awarded: 6 pts
19:19:14.983: Message received: teamAwesome,p@55w04d,6,PV49
19:19:14.984: Awarded: 6 pts
19:19:15.638: Message received: teamAwesome,p@55w04d,1,HH88
19:19:15.639: Awarded: 0 pts
19:19:15.643: Message received: teamAwesome,p@55w04d,2,MW25
19:19:15.648: Awarded: 6 pts
19:19:15.651: Message received: teamAwesome,p@55w04d,3,HH88
19:19:15.653: Awarded: 0 pts
19:19:15.655: Message received: teamAwesome,p@55w04d,4,AH77
19:19:15.657: Awarded: 0 pts
19:19:15.658: Message received: teamAwesome,p@55w04d,5,HA91
19:19:15.660: Awarded: 6 pts
19:19:15.664: Message received: teamAwesome,p@55w04d,6,PV49
19:19:15.666: Awarded: 6 pts
