19:26:30.276: Position 1: BY94
19:26:30.276: Position 2: GC76
19:26:30.277: Position 3: HO37
19:26:30.279: Position 4: MQ34
19:26:30.280: Position 5: FI35
19:26:30.280: Position 6: ON02
19:26:30.281: Position 7: AE57
19:26:30.281: Position 8: LO15
19:26:36.823: First command velocity received.
19:26:40.149: Message received: teamAwesome,p@55w04d,0,AA00
19:28:11.512: Timer started.
19:28:19.560: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:19.560: Awarded: 0 pts
19:28:19.586: Message received: teamAwesome,p@55w04d,2,GC76
19:28:19.588: Awarded: 6 pts
19:28:19.589: Team total: 6 pts
19:28:19.590: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:19.593: Awarded: 0 pts
19:28:19.597: Message received: teamAwesome,p@55w04d,4,5441
19:28:19.599: Awarded: 0 pts
19:28:19.602: Message received: teamAwesome,p@55w04d,5,FI35
19:28:19.604: Awarded: 6 pts
19:28:19.605: Team total: 12 pts
19:28:19.608: Message received: teamAwesome,p@55w04d,6,DN82
19:28:19.611: Awarded: 0 pts
19:28:20.183: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.184: Awarded: 0 pts
19:28:20.191: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.193: Awarded: 6 pts
19:28:20.195: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.196: Awarded: 0 pts
19:28:20.197: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.198: Awarded: 0 pts
19:28:20.200: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.203: Awarded: 6 pts
19:28:20.208: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.209: Awarded: 0 pts
19:28:20.278: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.281: Awarded: 0 pts
19:28:20.282: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.283: Awarded: 6 pts
19:28:20.284: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.286: Awarded: 0 pts
19:28:20.287: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.292: Awarded: 0 pts
19:28:20.298: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.303: Awarded: 6 pts
19:28:20.309: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.310: Awarded: 0 pts
19:28:20.381: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.382: Awarded: 0 pts
19:28:20.383: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.384: Awarded: 6 pts
19:28:20.388: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.392: Awarded: 0 pts
19:28:20.393: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.394: Awarded: 0 pts
19:28:20.396: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.398: Awarded: 6 pts
19:28:20.399: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.400: Awarded: 0 pts
19:28:20.460: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.464: Awarded: 0 pts
19:28:20.465: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.466: Awarded: 6 pts
19:28:20.467: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.468: Awarded: 0 pts
19:28:20.470: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.480: Awarded: 0 pts
19:28:20.485: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.486: Awarded: 6 pts
19:28:20.487: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.489: Awarded: 0 pts
19:28:20.546: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.547: Awarded: 0 pts
19:28:20.548: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.549: Awarded: 6 pts
19:28:20.550: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.553: Awarded: 0 pts
19:28:20.554: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.555: Awarded: 0 pts
19:28:20.561: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.563: Awarded: 6 pts
19:28:20.565: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.567: Awarded: 0 pts
19:28:20.607: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.608: Awarded: 0 pts
19:28:20.609: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.610: Awarded: 6 pts
19:28:20.611: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.613: Awarded: 0 pts
19:28:20.614: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.615: Awarded: 0 pts
19:28:20.620: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.623: Awarded: 6 pts
19:28:20.624: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.625: Awarded: 0 pts
19:28:20.666: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:20.666: Awarded: 0 pts
19:28:20.667: Message received: teamAwesome,p@55w04d,2,GC76
19:28:20.668: Awarded: 6 pts
19:28:20.669: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:20.669: Awarded: 0 pts
19:28:20.670: Message received: teamAwesome,p@55w04d,4,5441
19:28:20.671: Awarded: 0 pts
19:28:20.680: Message received: teamAwesome,p@55w04d,5,FI35
19:28:20.683: Awarded: 6 pts
19:28:20.685: Message received: teamAwesome,p@55w04d,6,DN82
19:28:20.694: Awarded: 0 pts
19:28:21.405: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:21.406: Awarded: 0 pts
19:28:21.408: Message received: teamAwesome,p@55w04d,2,GC76
19:28:21.410: Awarded: 6 pts
19:28:21.412: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:21.413: Awarded: 0 pts
19:28:21.414: Message received: teamAwesome,p@55w04d,4,5441
19:28:21.416: Awarded: 0 pts
19:28:21.419: Message received: teamAwesome,p@55w04d,5,FI35
19:28:21.425: Awarded: 6 pts
19:28:21.427: Message received: teamAwesome,p@55w04d,6,DN82
19:28:21.429: Awarded: 0 pts
19:28:22.076: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:22.077: Awarded: 0 pts
19:28:22.079: Message received: teamAwesome,p@55w04d,2,GC76
19:28:22.080: Awarded: 6 pts
19:28:22.082: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:22.083: Awarded: 0 pts
19:28:22.084: Message received: teamAwesome,p@55w04d,4,5441
19:28:22.085: Awarded: 0 pts
19:28:22.086: Message received: teamAwesome,p@55w04d,5,FI35
19:28:22.087: Awarded: 6 pts
19:28:22.088: Message received: teamAwesome,p@55w04d,6,DN82
19:28:22.089: Awarded: 0 pts
19:28:23.087: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:23.090: Awarded: 0 pts
19:28:23.092: Message received: teamAwesome,p@55w04d,2,GC76
19:28:23.093: Awarded: 6 pts
19:28:23.095: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:23.096: Awarded: 0 pts
19:28:23.104: Message received: teamAwesome,p@55w04d,4,5441
19:28:23.110: Awarded: 0 pts
19:28:23.112: Message received: teamAwesome,p@55w04d,5,FI35
19:28:23.113: Awarded: 6 pts
19:28:23.116: Message received: teamAwesome,p@55w04d,6,DN82
19:28:23.119: Awarded: 0 pts
19:28:23.738: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:23.740: Awarded: 0 pts
19:28:23.740: Message received: teamAwesome,p@55w04d,2,GC76
19:28:23.741: Awarded: 6 pts
19:28:23.743: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:23.744: Awarded: 0 pts
19:28:23.745: Message received: teamAwesome,p@55w04d,4,5441
19:28:23.746: Awarded: 0 pts
19:28:23.746: Message received: teamAwesome,p@55w04d,5,FI35
19:28:23.748: Awarded: 6 pts
19:28:23.749: Message received: teamAwesome,p@55w04d,6,DN82
19:28:23.750: Awarded: 0 pts
19:28:23.774: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:23.776: Awarded: 0 pts
19:28:23.777: Message received: teamAwesome,p@55w04d,2,GC76
19:28:23.777: Awarded: 6 pts
19:28:23.778: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:23.778: Awarded: 0 pts
19:28:23.779: Message received: teamAwesome,p@55w04d,4,5441
19:28:23.780: Awarded: 0 pts
19:28:23.780: Message received: teamAwesome,p@55w04d,5,FI35
19:28:23.781: Awarded: 6 pts
19:28:23.782: Message received: teamAwesome,p@55w04d,6,DN82
19:28:23.782: Awarded: 0 pts
19:28:23.822: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:23.824: Awarded: 0 pts
19:28:23.824: Message received: teamAwesome,p@55w04d,2,GC76
19:28:23.825: Awarded: 6 pts
19:28:23.826: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:23.827: Awarded: 0 pts
19:28:23.831: Message received: teamAwesome,p@55w04d,4,5441
19:28:23.835: Awarded: 0 pts
19:28:23.836: Message received: teamAwesome,p@55w04d,5,FI35
19:28:23.838: Awarded: 6 pts
19:28:23.839: Message received: teamAwesome,p@55w04d,6,DN82
19:28:23.841: Awarded: 0 pts
19:28:23.924: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:23.925: Awarded: 0 pts
19:28:23.926: Message received: teamAwesome,p@55w04d,2,GC76
19:28:23.927: Awarded: 6 pts
19:28:23.928: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:23.929: Awarded: 0 pts
19:28:23.930: Message received: teamAwesome,p@55w04d,4,5441
19:28:23.931: Awarded: 0 pts
19:28:23.932: Message received: teamAwesome,p@55w04d,5,FI35
19:28:23.933: Awarded: 6 pts
19:28:23.936: Message received: teamAwesome,p@55w04d,6,DN82
19:28:23.939: Awarded: 0 pts
19:28:24.027: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.028: Awarded: 0 pts
19:28:24.029: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.030: Awarded: 6 pts
19:28:24.030: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.031: Awarded: 0 pts
19:28:24.031: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.033: Awarded: 0 pts
19:28:24.034: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.036: Awarded: 6 pts
19:28:24.038: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.038: Awarded: 0 pts
19:28:24.136: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.137: Awarded: 0 pts
19:28:24.138: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.139: Awarded: 6 pts
19:28:24.148: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.148: Awarded: 0 pts
19:28:24.152: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.156: Awarded: 0 pts
19:28:24.161: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.163: Awarded: 6 pts
19:28:24.168: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.173: Awarded: 0 pts
19:28:24.238: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.240: Awarded: 0 pts
19:28:24.241: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.242: Awarded: 6 pts
19:28:24.246: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.248: Awarded: 0 pts
19:28:24.252: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.253: Awarded: 0 pts
19:28:24.254: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.256: Awarded: 6 pts
19:28:24.257: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.258: Awarded: 0 pts
19:28:24.294: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.296: Awarded: 0 pts
19:28:24.302: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.310: Awarded: 6 pts
19:28:24.319: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.325: Awarded: 0 pts
19:28:24.326: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.328: Awarded: 0 pts
19:28:24.329: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.329: Awarded: 6 pts
19:28:24.332: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.333: Awarded: 0 pts
19:28:24.355: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.356: Awarded: 0 pts
19:28:24.357: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.358: Awarded: 6 pts
19:28:24.359: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.360: Awarded: 0 pts
19:28:24.362: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.363: Awarded: 0 pts
19:28:24.367: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.371: Awarded: 6 pts
19:28:24.373: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.374: Awarded: 0 pts
19:28:24.424: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.426: Awarded: 0 pts
19:28:24.427: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.428: Awarded: 6 pts
19:28:24.429: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.431: Awarded: 0 pts
19:28:24.433: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.436: Awarded: 0 pts
19:28:24.437: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.440: Awarded: 6 pts
19:28:24.441: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.442: Awarded: 0 pts
19:28:24.499: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.500: Awarded: 0 pts
19:28:24.502: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.503: Awarded: 6 pts
19:28:24.505: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.506: Awarded: 0 pts
19:28:24.507: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.508: Awarded: 0 pts
19:28:24.509: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.511: Awarded: 6 pts
19:28:24.515: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.519: Awarded: 0 pts
19:28:24.557: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.560: Awarded: 0 pts
19:28:24.562: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.564: Awarded: 6 pts
19:28:24.567: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.568: Awarded: 0 pts
19:28:24.569: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.570: Awarded: 0 pts
19:28:24.571: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.573: Awarded: 6 pts
