19:49:18.222: Position 1: FW75
19:49:18.226: Position 2: RF09
19:49:18.227: Position 3: PD75
19:49:18.229: Position 4: RG30
19:49:18.229: Position 5: UR42
19:49:18.230: Position 6: HG23
19:49:18.231: Position 7: BW16
19:49:18.232: Position 8: HU03
19:49:30.619: First command velocity received.
19:49:32.609: Timer started.
19:49:44.498: Timer started.
19:49:44.720: Timer started.
19:50:11.775: Message received: teamAwesome,p@55w04d,0,AA00
19:51:10.631: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:10.639: Awarded: 0 pts
19:51:10.641: Message received: teamAwesome,p@55w04d,2,KH78
19:51:10.642: Awarded: 0 pts
19:51:10.643: Message received: teamAwesome,p@55w04d,3,KS79
19:51:10.649: Awarded: 0 pts
19:51:10.649: Message received: teamAwesome,p@55w04d,4,HH87
19:51:10.650: Awarded: 0 pts
19:51:10.651: Message received: teamAwesome,p@55w04d,5,AA00
19:51:10.652: Awarded: 0 pts
19:51:10.653: Message received: teamAwesome,p@55w04d,6,AA00
19:51:10.655: Awarded: 0 pts
19:51:10.665: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:10.670: Awarded: 0 pts
19:51:10.673: Message received: teamAwesome,p@55w04d,2,KH78
19:51:10.675: Awarded: 0 pts
19:51:10.678: Message received: teamAwesome,p@55w04d,3,KS79
19:51:10.679: Awarded: 0 pts
19:51:10.681: Message received: teamAwesome,p@55w04d,4,HH87
19:51:10.681: Awarded: 0 pts
19:51:10.683: Message received: teamAwesome,p@55w04d,5,AA00
19:51:10.685: Awarded: 0 pts
19:51:10.690: Message received: teamAwesome,p@55w04d,6,AA00
19:51:10.694: Awarded: 0 pts
19:51:10.813: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:10.814: Awarded: 0 pts
19:51:10.816: Message received: teamAwesome,p@55w04d,2,KH78
19:51:10.817: Awarded: 0 pts
19:51:10.817: Message received: teamAwesome,p@55w04d,3,KS79
19:51:10.818: Awarded: 0 pts
19:51:10.833: Message received: teamAwesome,p@55w04d,4,HH87
19:51:10.834: Awarded: 0 pts
19:51:10.834: Message received: teamAwesome,p@55w04d,5,AA00
19:51:10.840: Awarded: 0 pts
19:51:10.842: Message received: teamAwesome,p@55w04d,6,AA00
19:51:10.843: Awarded: 0 pts
19:51:10.943: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:10.944: Awarded: 0 pts
19:51:10.945: Message received: teamAwesome,p@55w04d,2,KH78
19:51:10.946: Awarded: 0 pts
19:51:10.946: Message received: teamAwesome,p@55w04d,3,KS79
19:51:10.947: Awarded: 0 pts
19:51:10.947: Message received: teamAwesome,p@55w04d,4,HH87
19:51:10.948: Awarded: 0 pts
19:51:10.949: Message received: teamAwesome,p@55w04d,5,AA00
19:51:10.950: Awarded: 0 pts
19:51:10.952: Message received: teamAwesome,p@55w04d,6,AA00
19:51:10.954: Awarded: 0 pts
19:51:11.088: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.093: Awarded: 0 pts
19:51:11.093: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.094: Awarded: 0 pts
19:51:11.094: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.095: Awarded: 0 pts
19:51:11.096: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.096: Awarded: 0 pts
19:51:11.104: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.113: Awarded: 0 pts
19:51:11.115: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.119: Awarded: 0 pts
19:51:11.229: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.230: Awarded: 0 pts
19:51:11.231: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.232: Awarded: 0 pts
19:51:11.235: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.238: Awarded: 0 pts
19:51:11.241: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.241: Awarded: 0 pts
19:51:11.247: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.248: Awarded: 0 pts
19:51:11.251: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.252: Awarded: 0 pts
19:51:11.368: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.372: Awarded: 0 pts
19:51:11.373: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.373: Awarded: 0 pts
19:51:11.374: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.374: Awarded: 0 pts
19:51:11.375: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.376: Awarded: 0 pts
19:51:11.376: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.377: Awarded: 0 pts
19:51:11.377: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.379: Awarded: 0 pts
19:51:11.519: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.520: Awarded: 0 pts
19:51:11.521: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.521: Awarded: 0 pts
19:51:11.533: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.534: Awarded: 0 pts
19:51:11.536: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.537: Awarded: 0 pts
19:51:11.540: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.543: Awarded: 0 pts
19:51:11.547: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.551: Awarded: 0 pts
19:51:11.595: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.596: Awarded: 0 pts
19:51:11.599: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.602: Awarded: 0 pts
19:51:11.605: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.609: Awarded: 0 pts
19:51:11.611: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.612: Awarded: 0 pts
19:51:11.614: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.615: Awarded: 0 pts
19:51:11.618: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.621: Awarded: 0 pts
19:51:11.776: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.777: Awarded: 0 pts
19:51:11.779: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.780: Awarded: 0 pts
19:51:11.781: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.783: Awarded: 0 pts
19:51:11.784: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.785: Awarded: 0 pts
19:51:11.790: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.793: Awarded: 0 pts
19:51:11.794: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.796: Awarded: 0 pts
19:51:11.914: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:11.915: Awarded: 0 pts
19:51:11.916: Message received: teamAwesome,p@55w04d,2,KH78
19:51:11.917: Awarded: 0 pts
19:51:11.917: Message received: teamAwesome,p@55w04d,3,KS79
19:51:11.918: Awarded: 0 pts
19:51:11.919: Message received: teamAwesome,p@55w04d,4,HH87
19:51:11.919: Awarded: 0 pts
19:51:11.920: Message received: teamAwesome,p@55w04d,5,AA00
19:51:11.921: Awarded: 0 pts
19:51:11.921: Message received: teamAwesome,p@55w04d,6,AA00
19:51:11.923: Awarded: 0 pts
19:51:12.040: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.042: Awarded: 0 pts
19:51:12.043: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.044: Awarded: 0 pts
19:51:12.045: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.046: Awarded: 0 pts
19:51:12.054: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.055: Awarded: 0 pts
19:51:12.057: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.058: Awarded: 0 pts
19:51:12.059: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.063: Awarded: 0 pts
19:51:12.131: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.133: Awarded: 0 pts
19:51:12.134: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.135: Awarded: 0 pts
19:51:12.136: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.139: Awarded: 0 pts
19:51:12.142: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.143: Awarded: 0 pts
19:51:12.146: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.152: Awarded: 0 pts
19:51:12.154: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.158: Awarded: 0 pts
19:51:12.247: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.249: Awarded: 0 pts
19:51:12.250: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.251: Awarded: 0 pts
19:51:12.252: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.253: Awarded: 0 pts
19:51:12.255: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.258: Awarded: 0 pts
19:51:12.261: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.262: Awarded: 0 pts
19:51:12.265: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.266: Awarded: 0 pts
19:51:12.422: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.424: Awarded: 0 pts
19:51:12.425: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.426: Awarded: 0 pts
19:51:12.429: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.430: Awarded: 0 pts
19:51:12.431: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.433: Awarded: 0 pts
19:51:12.435: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.437: Awarded: 0 pts
19:51:12.437: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.439: Awarded: 0 pts
19:51:12.520: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.521: Awarded: 0 pts
19:51:12.522: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.523: Awarded: 0 pts
19:51:12.524: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.525: Awarded: 0 pts
19:51:12.526: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.527: Awarded: 0 pts
19:51:12.528: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.529: Awarded: 0 pts
19:51:12.532: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.534: Awarded: 0 pts
19:51:12.656: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.657: Awarded: 0 pts
19:51:12.658: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.659: Awarded: 0 pts
19:51:12.660: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.661: Awarded: 0 pts
19:51:12.663: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.664: Awarded: 0 pts
19:51:12.665: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.667: Awarded: 0 pts
19:51:12.669: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.670: Awarded: 0 pts
19:51:12.811: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.812: Awarded: 0 pts
19:51:12.814: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.816: Awarded: 0 pts
19:51:12.817: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.818: Awarded: 0 pts
19:51:12.819: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.823: Awarded: 0 pts
19:51:12.826: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.828: Awarded: 0 pts
